瘤痢,斥档,力厚,力厚,力厚,力厚,力厚,力厚,力厚,力厚,轨,轨,轨,轨,轨,轨,轨,轨,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,概拳,概拳,概拳,概拳,概拳,概拳,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公
器亲,2023,2023-04-17,1老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2023-04-19,1老, , , , , , ,2023-03-09,-15老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2023-01-18,-31老,2023-01-27,-34老,2023-02-27,-15老,2023-02-06,-29老,2023-03-06,-13老,2023-03-09,-16老,2023-02-08,-30老,2023-03-11,-11老,2023-03-15,-12老,2023-03-08,-8老,2023-03-16,-13老,2023-03-21,-14老,2023-02-03,-41老,2023-03-10,-17老,2023-03-22,-18老,2023-02-03,-48老,2023-03-20,-16老,2023-03-22,-18老
器亲,2024,2024-05-08,22老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2024-04-16,-2老, , , , , , ,2024-03-23,-1老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2024-02-09,-9老,2024-02-14,-17老,2024-02-22,-21老,2024-02-18,-18老,2024-03-16,-3老,2024-03-20,-5老,2024-02-28,-11老,2024-03-18,-4老,2024-03-23,-4老,2024-03-15,-1老,2024-03-29,0老,2024-04-02,-2老,2024-03-14,-2老,2024-04-01,5老,2024-04-04,-5老,2024-03-16,-7老,2024-04-01,-4老,2024-04-04,-5老
堡林,2004,2004-04-17,-1老,2004-10-13,6老, , , , , , , , , , , , , , , , , , , , ,2004-03-24,-7老, , , , , , , , , , , , , , ,2004-02-14,-6老,2004-02-21,-16老, , ,2004-03-12,4老,2004-03-17,-4老, , ,2004-03-10,-1老,2004-03-24,-3老, , ,2004-03-14,1老,2004-03-27,-4老, , ,2004-03-12,-6老,2004-03-26,-6老, , ,2004-03-22,1老,2004-04-10,2老, , 
堡林,2005,2005-04-13,-5老,2005-10-15,8老, , , , , , , , , , , , , , , , , , , , ,2005-04-08,8老, , , , , , , , , , , , , , ,2005-03-11,19老,2005-03-18,10老, , ,2005-03-18,10老,2005-03-28,7老, , ,2005-03-20,9老,2005-03-28,1老, , ,2005-03-28,15老,2005-04-07,7老, , ,2005-03-31,13老,2005-04-07,6老, , ,2005-03-29,8老,2005-04-13,5老, , 
堡林,2006,2006-04-10,-8老,2006-10-12,5老, , , , , , , , , , , , , , , , , , , , ,2006-04-08,8老, , , , , , , , , , , , , , ,2006-03-08,16老,2006-03-14,6老, , ,2006-03-09,1老,2006-03-14,-7老, , ,2006-03-10,-1老,2006-03-30,3老, , ,2006-03-20,7老,2006-03-30,-1老, , ,2006-03-21,3老,2006-03-30,-2老, , ,2006-03-22,1老,2006-04-10,2老, , 
堡林,2007, , , , , , , , , , , , , , , , , , , , , , , , ,2007-03-25,-6老, , , , , , , , , , , , , , ,2007-02-18,-2老,2007-02-26,-10老, , ,2007-03-07,-1老,2007-03-14,-7老, , ,2007-03-09,-2老,2007-03-26,-1老, , ,2007-03-13,0老,2007-03-25,-6老, , ,2007-03-09,-9老,2007-03-21,-11老, , ,2007-03-21,0老,2007-03-29,-10老, , 
堡林,2008,2008-04-21,3老,2008-10-16,9老, , , , , , , , , , , , , , , , , , , , ,2008-03-12,-19老, , , , , , , , , , , , , , ,2008-02-19,-1老,2008-03-11,3老, , ,2008-02-24,-13老,2008-03-20,-1老, , ,2008-03-10,-1老,2008-03-28,1老, , ,2008-03-13,0老,2008-03-31,0老, , ,2008-03-11,-7老,2008-04-01,0老, , ,2008-03-16,-5老,2008-04-04,-4老, , 
堡林,2009,包螟 救凳,—,包螟 救凳,—, , , , , , , , , , , , , , , , , , , , ,2009-04-02,2老, , , , , , , , , , , , , , ,2009-02-03,-17老,2009-02-27,-9老, , ,2009-03-04,-4老,2009-03-13,-8老, , ,2009-03-05,-6老,2009-03-19,-8老, , ,2009-03-16,3老,2009-03-22,-9老, , ,2009-03-21,3老,2009-04-03,2老, , ,2009-03-23,2老,2009-04-11,3老, , 
堡林,2010,2010-05-01,13老,包螟 救凳,—, , , , , , , , , , , , , , , , , , , , ,2010-05-03,33老, , , , , , , , , , , , , , ,2010-03-02,10老,2010-03-11,3老, , ,2010-03-04,-4老,2010-03-14,-7老, , ,2010-03-07,-4老,2010-03-25,-2老, , ,2010-03-11,-2老,2010-03-31,0老, , ,2010-03-14,-4老,2010-04-04,3老, , ,2010-03-15,-6老,2010-04-06,-2老, , 
堡林,2011,2011-04-19,1老,包螟 救凳,—, , , , , , , , , , , , , , , , , , , , ,2011-04-06,6老, , , , , , , , , , , , , , ,2011-02-20,0老,2011-03-12,4老, , ,2011-03-14,6老,2011-03-28,7老, , ,2011-03-25,14老,2011-04-05,9老, , ,2011-03-15,2老,2011-04-06,6老, , ,2011-03-31,13老,2011-04-06,5老, , ,2011-04-03,13老,2011-04-14,6老, , 
堡林,2012,2012-04-24,6老,包螟 救凳,—, , ,包螟 救凳,—, , , , , , , , , , , , , , , , ,2012-05-07,37老, , , , , , , , , , , , , , ,2012-02-28,8老,2012-03-22,14老, , ,2012-03-07,-1老,2012-03-29,8老, , ,2012-03-28,17老,2012-04-05,9老, , ,2012-03-16,3老,2012-04-08,8老, , ,2012-04-01,14老,2012-04-08,7老, , ,2012-03-31,10老,2012-04-12,4老, , 
堡林,2013,2013-04-22,4老,包螟 救凳,—, , , , , , , , , , , , , , , , , , , , ,2013-04-22,22老, , , , , , , , , , , , , , ,2013-02-13,-7老,2013-03-10,2老, , ,2013-03-13,5老,2013-03-18,-3老, , ,2013-03-13,2老,2013-03-25,-2老, , ,2013-03-13,0老,2013-03-29,-2老, , ,2013-03-18,0老,2013-04-01,0老, , ,2013-03-26,5老,2013-04-11,3老, , 
堡林,2014,2014-04-09,-9老, , , , , , , , , , , , , , , , , , , , , , ,2014-04-02,2老, , , , , , , , , , , , , , ,2014-02-11,-9老,2014-02-28,-8老, , ,2014-03-02,-6老,2014-03-16,-5老, , ,2014-03-17,6老,2014-03-25,-2老, , ,2014-03-17,4老,2014-03-28,-3老, , ,2014-03-17,-1老,2014-03-28,-4老, , ,2014-03-16,-5老,2014-03-31,-8老, , 
堡林,2015,2015-05-09,21老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2015-04-23,23老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-02-13,-7老,2015-03-08,0老,2015-03-16,0老,2015-03-14,6老,2015-03-20,-1老,2015-03-25,-1老,2015-03-12,1老,2015-03-23,-4老,2015-03-30,-2老,2015-03-14,1老,2015-03-29,-2老,2015-04-03,-1老,2015-03-14,-4老,2015-03-30,-2老,2015-04-03,-3老,2015-03-15,-6老,2015-04-01,-7老,2015-04-05,-5老
堡林,2016,2016-05-13,25老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2016-03-23,-8老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2016-02-17,-3老,2016-03-03,-5老,2016-03-11,-5老,2016-03-07,-1老,2016-03-18,-3老,2016-03-21,-5老,2016-03-07,-4老,2016-03-28,1老,2016-03-30,-2老,2016-03-13,0老,2016-03-29,-2老,2016-03-31,-4老,2016-03-13,-5老,2016-03-31,-1老,2016-04-05,-1老,2016-03-29,8老,2016-04-07,-1老,2016-04-11,1老
堡林,2017,2017-04-28,10老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2017-04-04,4老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2017-02-07,-13老,2017-02-24,-12老,2017-03-11,-5老,2017-03-14,6老,2017-03-21,0老,2017-03-26,0老,2017-03-11,0老,2017-03-27,0老,2017-03-30,-2老,2017-03-15,2老,2017-04-02,2老,2017-04-09,5老,2017-03-15,-3老,2017-04-04,3老,2017-04-09,3老,2017-03-27,6老,2017-04-08,0老,2017-04-11,1老
堡林,2018,2018-04-18,0老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2018-03-27,-4老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2018-02-20,0老,2018-03-12,4老,2018-03-15,-1老,2018-03-12,4老,2018-03-17,-4老,2018-03-22,-4老,2018-03-11,0老,2018-03-26,-1老,2018-03-29,-3老,2018-03-12,-1老,2018-03-27,-4老,2018-03-29,-6老,2018-03-12,-6老,2018-03-30,-2老,2018-03-31,-6老,2018-03-12,-9老,2018-03-30,-9老,2018-03-31,-10老
堡林,2019,2019-04-25,7老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2019-04-15,15老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2019-01-23,-28老,2019-02-07,-29老,2019-02-22,-22老,2019-02-24,-12老,2019-03-16,-5老,2019-03-19,-7老,2019-02-24,-15老,2019-03-26,-1老,2019-03-28,-4老,2019-02-24,-17老,2019-03-27,-4老,2019-03-29,-6老,2019-02-24,-22老,2019-03-29,-3老,2019-04-02,-4老,2019-02-24,-25老,2019-04-02,-6老,2019-04-06,-4老
堡林,2020,2020-05-25,37老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2020-02-21,-39老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2020-01-16,-35老,2020-02-15,-22老,2020-02-23,-22老,2020-02-23,-14老,2020-03-15,-6老,2020-03-21,-5老,2020-02-23,-17老,2020-03-21,-6老,2020-03-24,-8老,2020-02-24,-18老,2020-03-23,-8老,2020-03-29,-6老,2020-02-24,-23老,2020-03-24,-8老,2020-03-29,-8老,2020-02-24,-26老,2020-03-28,-11老,2020-04-03,-7老
堡林,2021,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2021-04-07,7老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2021-02-11,-9老,2021-02-22,-14老,2021-02-28,-16老,2021-02-21,-15老,2021-03-12,-9老,2021-03-18,-8老,2021-02-21,-18老,2021-03-18,-9老,2021-03-22,-10老,2021-02-21,-20老,2021-03-18,-13老,2021-03-24,-11老,2021-02-21,-25老,2021-03-23,-9老,2021-03-25,-12老,2021-02-21,-28老,2021-04-01,-7老,2021-04-04,-6老
堡林,2022,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2022-03-21,-10老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2022-02-22,2老,2022-03-05,-3老,2022-03-11,-5老,2022-02-28,-8老,2022-03-14,-7老,2022-03-17,-9老,2022-02-28,-11老,2022-03-24,-3老,2022-03-26,-6老,2022-02-28,-13老,2022-03-25,-6老,2022-03-29,-6老,2022-02-28,-18老,2022-03-30,-2老,2022-04-02,-4老,2022-03-02,-19老,2022-04-02,-6老,2022-04-06,-4老
堡林,2023,2023-04-14,-4老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2023-02-28,-31老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2023-02-13,-7老,2023-02-28,-8老,2023-03-13,-3老,2023-02-28,-8老,2023-03-13,-8老,2023-03-16,-10老,2023-02-26,-13老,2023-03-21,-6老,2023-03-24,-8老,2023-02-28,-13老,2023-03-23,-8老,2023-03-26,-9老,2023-03-02,-16老,2023-03-24,-8老,2023-03-27,-10老,2023-02-28,-21老,2023-03-24,-15老,2023-03-27,-14老
堡林,2024,2024-04-09,-9老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2024-04-08,8老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2024-01-29,-22老,2024-02-18,-19老,2024-02-20,-25老,2024-03-09,1老,2024-03-17,-4老,2024-03-23,-3老,2024-03-09,-2老,2024-03-23,-4老,2024-03-25,-7老,2024-03-17,4老,2024-03-27,-4老,2024-04-01,-3老,2024-03-23,5老,2024-04-02,1老,2024-04-04,-2老,2024-03-25,4老,2024-04-11,3老,2024-04-16,6老
措备,2004,2004-04-15,0老,2004-10-10,1老, , , , , , , , , , , , , , , , , , , , ,2004-03-15,-6老, , , , , , , , , , , , , , ,2004-02-18,-6老,2004-02-23,-20老, , ,2004-03-05,-1老,2004-03-16,-2老, , ,2004-03-06,-3老,2004-03-17,-6老, , ,2004-03-09,-7老,2004-03-23,-6老, , ,2004-03-11,-8老,2004-03-25,-7老, , ,2004-03-09,-12老,2004-03-26,-10老, , 
措备,2005,2005-04-10,-5老,2005-10-09,0老, , , , , , , , , , , , , , , , , , , , ,2005-03-28,7老, , , , , , , , , , , , , , ,2005-02-17,-7老,2005-02-23,-19老, , ,2005-03-10,4老,2005-03-21,3老, , ,2005-03-14,5老,2005-03-25,2老, , ,2005-03-28,12老,2005-04-04,6老, , ,2005-04-01,13老,2005-04-08,7老, , ,2005-03-29,8老,2005-04-08,3老, , 
措备,2006,2006-04-09,-6老,2006-10-12,3老, , , , , , , , , , , , , , , , , , , , ,2006-03-15,-6老, , , , , , , , , , , , , , ,2006-02-25,1老,2006-03-07,-7老, , ,2006-02-27,-7老,2006-03-10,-8老, , ,2006-03-05,-4老,2006-03-22,-1老, , ,2006-03-23,7老,2006-03-28,-1老, , ,2006-03-24,5老,2006-04-03,2老, , ,2006-03-23,2老,2006-04-03,-2老, , 
措备,2007,2007-04-15,0老,2007-09-25,-14老, , , , , , , , , , , , , , , , , , , , ,2007-02-27,-22老, , , , , , , , , , , , , , ,2007-02-24,0老,2007-03-03,-11老, , ,2007-02-27,-7老,2007-03-08,-10老, , ,2007-02-26,-11老,2007-03-17,-6老, , ,2007-03-20,4老,2007-03-24,-5老, , ,2007-03-20,1老,2007-03-26,-6老, , ,2007-03-25,4老,2007-04-02,-3老, , 
措备,2008,2008-04-20,5老,2008-09-30,-9老, , , , , , , , , , , , , , , , , , , , ,2008-03-12,-9老, , , , , , , , , , , , , , ,2008-02-23,-1老,2008-03-15,1老, , ,2008-03-06,0老,2008-03-19,1老, , ,2008-03-10,1老,2008-03-22,-1老, , ,2008-03-15,-1老,2008-03-27,-2老, , ,2008-03-12,-7老,2008-04-01,0老, , ,2008-03-16,-5老,2008-04-04,-1老, , 
措备,2009,2009-04-28,13老,2009-09-28,-11老, , , , , , , , , , , , , , , , , , , , ,2009-03-12,-9老, , , , , , , , , , , , , , ,2009-02-24,0老,2009-03-07,-7老, , ,2009-03-03,-3老,2009-03-16,-2老, , ,2009-03-07,-2老,2009-03-19,-4老, , ,2009-03-12,-4老,2009-03-22,-7老, , ,2009-03-10,-9老,2009-03-24,-8老, , ,2009-03-18,-3老,2009-04-02,-3老, , 
措备,2010,2010-04-19,4老,2010-10-05,-4老, , , , , , , , , , , , , , , , , , , , ,2010-04-04,14老, , , , , , , , , , , , , , ,2010-02-23,-1老,2010-03-13,-1老, , ,2010-02-28,-6老,2010-03-19,1老, , ,2010-03-02,-7老,2010-04-02,10老, , ,2010-03-22,6老,2010-04-05,7老, , ,2010-04-03,15老,2010-04-08,7老, , ,2010-04-04,14老,2010-04-15,10老, , 
措备,2011,2011-04-07,-8老,2011-10-03,-6老, , , , , , , , , , , , , , , , , , , , ,2011-03-19,-2老, , , , , , , , , , , , , , ,2011-02-22,-2老,2011-03-13,-1老, , ,2011-03-06,0老,2011-03-15,-3老, , ,2011-03-10,1老,2011-03-23,0老, , ,2011-03-13,-3老,2011-04-02,4老, , ,2011-03-13,-6老,2011-04-06,5老, , ,2011-03-22,1老,2011-04-09,4老, , 
措备,2012,2012-04-04,-11老,2012-10-08,-1老, , , , , , , , , , , , , , , , , , , , ,2012-03-27,6老, , , , , , , , , , , , , , ,2012-02-24,0老,2012-03-08,-6老, , ,2012-03-06,0老,2012-03-19,1老, , ,2012-03-09,0老,2012-03-22,-1老, , ,2012-03-19,3老,2012-04-04,6老, , ,2012-03-27,8老,2012-04-08,7老, , ,2012-03-27,6老,2012-04-09,4老, , 
措备,2013,2013-05-09,24老,2013-10-05,-4老, , , , , , , , , , , , , , , , , , , , ,2013-03-11,-10老, , , , , , , , , , , , , , ,2013-02-21,-3老,2013-03-14,0老, , ,2013-03-06,0老,2013-03-14,-4老, , ,2013-03-06,-3老,2013-03-17,-6老, , ,2013-03-11,-5老,2013-03-23,-6老, , ,2013-03-29,10老,2013-04-05,4老, , ,2013-03-30,9老,2013-04-05,0老, , 
措备,2014,2014-04-13,-2老,包螟 救凳,—, , , , , , , , , , , , , , , , , , , , ,2014-03-16,-5老, , , , , , , , , , , , , , ,2014-02-20,-4老,2014-03-11,-3老, , ,2014-03-03,-3老,2014-03-16,-2老, , ,2014-03-04,-5老,2014-03-17,-6老, , ,2014-03-17,1老,2014-03-27,-2老, , ,2014-03-20,1老,2014-04-02,1老, , ,2014-03-21,0老,2014-04-06,1老, , 
措备,2015,2015-04-12,-3老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2015-03-19,-2老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-02-22,-2老,2015-03-17,3老,2015-03-22,-3老,2015-03-02,-4老,2015-03-19,1老,2015-03-24,0老,2015-03-02,-7老,2015-03-21,-2老,2015-03-27,-1老,2015-03-20,4老,2015-03-28,-1老,2015-04-01,-1老,2015-03-21,2老,2015-03-30,-2老,2015-04-06,2老,2015-03-21,0老,2015-03-30,-6老,2015-04-06,-2老
措备,2016,2016-04-15,0老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—, , , , , , ,2016-03-30,9老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2016-02-20,-4老,2016-03-16,2老,2016-03-19,-6老,2016-03-09,3老,2016-03-19,1老,2016-03-24,0老,2016-03-15,6老,2016-03-19,-4老,2016-03-23,-5老,2016-03-22,6老,2016-03-25,-4老,2016-03-31,-2老,2016-03-27,8老,2016-03-30,-2老,2016-04-01,-3老,2016-03-31,10老,2016-04-02,-3老,2016-04-05,-3老
措备,2017,2017-04-25,10老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2017-04-02,12老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2017-03-02,6老,2017-03-11,-3老,2017-03-18,-7老,2017-03-10,4老,2017-03-17,-1老,2017-03-23,-1老,2017-03-10,1老,2017-03-17,-6老,2017-03-25,-3老,2017-03-16,0老,2017-03-29,0老,2017-04-02,0老,2017-03-21,2老,2017-03-28,-4老,2017-03-31,-4老,2017-03-23,2老,2017-04-03,-2老,2017-04-07,-1老
措备,2018,2018-04-06,-9老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2018-03-31,10老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2018-03-02,6老,2018-03-12,-2老,2018-03-22,-3老,2018-03-11,5老,2018-03-20,2老,2018-03-26,2老,2018-03-12,3老,2018-03-22,-1老,2018-03-27,-1老,2018-03-12,-4老,2018-03-27,-2老,2018-03-29,-4老,2018-03-13,-6老,2018-03-31,-1老,2018-04-03,-1老,2018-03-20,-1老,2018-03-31,-5老,2018-04-03,-5老
措备,2019,2019-05-12,27老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2019-03-05,-16老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2019-02-21,-3老,2019-03-07,-7老,2019-03-12,-13老,2019-03-11,5老,2019-03-13,-5老,2019-03-14,-10老,2019-03-11,2老,2019-03-19,-4老,2019-03-21,-7老,2019-03-17,1老,2019-03-21,-8老,2019-03-26,-7老,2019-03-19,0老,2019-03-25,-7老,2019-03-29,-6老,2019-03-19,-2老,2019-03-29,-7老,2019-04-02,-6老
措备,2020,2020-04-28,13老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2020-03-17,-4老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2020-01-28,-27老,2020-03-02,-12老,2020-03-09,-16老,2020-03-05,-1老,2020-03-12,-6老,2020-03-14,-10老,2020-03-06,-3老,2020-03-11,-12老,2020-03-21,-7老,2020-03-09,-7老,2020-03-21,-8老,2020-03-27,-6老,2020-03-17,-2老,2020-03-21,-11老,2020-03-25,-10老,2020-03-17,-4老,2020-03-26,-10老,2020-03-27,-12老
措备,2021,2021-04-20,5老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2021-03-05,-16老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2021-02-02,-22老,2021-02-22,-20老,2021-02-27,-26老,2021-02-28,-6老,2021-03-13,-5老,2021-03-16,-8老,2021-03-05,-4老,2021-03-15,-8老,2021-03-16,-12老,2021-03-16,0老,2021-03-23,-6老,2021-03-27,-6老,2021-03-16,-3老,2021-03-23,-9老,2021-03-28,-7老,2021-03-16,-5老,2021-03-27,-9老,2021-03-30,-9老
措备,2022,2022-04-13,-2老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2022-03-22,1老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2022-02-22,-2老,2022-03-07,-7老,2022-03-14,-11老,2022-03-13,7老,2022-03-19,1老,2022-03-26,2老,2022-03-19,10老,2022-03-21,-2老,2022-03-26,-2老,2022-03-21,5老,2022-03-26,-3老,2022-03-30,-3老,2022-03-21,2老,2022-03-29,-3老,2022-04-03,-1老,2022-03-21,0老,2022-03-30,-6老,2022-04-03,-5老
措备,2023,2023-04-06,-9老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2023-03-10,-11老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2023-02-11,-13老,2023-03-01,-13老,2023-03-08,-17老,2023-03-06,0老,2023-03-12,-6老,2023-03-14,-10老,2023-03-10,1老,2023-03-15,-8老,2023-03-20,-8老,2023-03-10,-6老,2023-03-21,-8老,2023-03-25,-8老,2023-03-10,-9老,2023-03-22,-10老,2023-03-28,-7老,2023-03-10,-11老,2023-03-27,-9老,2023-03-31,-8老
措备,2024,2024-03-27,-19老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2024-03-15,-6老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2024-01-29,-26老,2024-02-16,-27老,2024-02-27,-27老,2024-03-11,5老,2024-03-16,-2老,2024-03-21,-3老,2024-03-04,-5老,2024-03-24,1老,2024-03-29,1老,2024-03-16,0老,2024-03-27,-2老,2024-04-01,-1老,2024-03-08,-11老,2024-03-29,-3老,2024-04-02,-2老,2024-03-16,-5老,2024-04-01,-4老,2024-04-06,-2老
措备(扁),2014,2014-04-13, , , , , , , , , , , , , , , , , , , , , , , ,2014-03-16, , , , , , , , , , , , , , , ,2014-02-20, ,2014-03-11, , , ,2014-03-03, ,2014-03-16, , , ,2014-03-04, ,2014-03-17, , , ,2014-03-17, ,2014-03-27, , , ,2014-03-20, ,2014-04-02, , , ,2014-03-21, ,2014-04-06, , , 
措备(扁),2015, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2015-03-19, , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-02-22, ,2015-03-17, , , ,2015-03-02, ,2015-03-19, , , ,2015-03-02, ,2015-03-21, , , ,2015-03-20, ,2015-03-28, , , ,2015-03-21, ,2015-03-30, , , ,2015-03-21, ,2015-03-30, , , 
措傈,2004,包螟 救凳,—,包螟 救凳,—, , , , , , , , , , , , , , , , , , , , ,2004-03-26,-12老, , , , , , , , , , , , , , ,2004-03-12,-1老,2004-03-16,-11老, , ,2004-03-14,-4老,2004-03-26,0老, , ,2004-03-14,-5老,2004-03-26,-3老, , ,2004-03-16,-9老,2004-03-30,-5老, , ,2004-03-21,-8老,2004-04-06,-3老, , ,2004-03-23,-7老,2004-04-10,-1老, , 
措傈,2005, , , , , , , , , , , , , , , , , , , , , , , , ,2005-04-13,6老, , , , , , , , , , , , , , ,2005-03-26,13老,2005-04-04,8老, , ,2005-03-26,8老,2005-04-04,9老, , ,2005-03-28,9老,2005-04-06,8老, , ,2005-04-02,8老,2005-04-08,4老, , ,2005-04-01,3老,2005-04-13,4老, , ,2005-04-02,3老,2005-04-16,5老, , 
措傈,2006, , , , , , , , , , , , , , , , , , , , , , , , ,2006-04-17,10老, , , , , , , , , , , , , , ,2006-03-19,6老,2006-03-26,-1老, , ,2006-03-15,-3老,2006-03-24,-2老, , ,2006-03-17,-2老,2006-03-27,-2老, , ,2006-03-31,6老,2006-04-08,4老, , ,2006-04-02,4老,2006-04-13,4老, , ,2006-04-02,3老,2006-04-13,2老, , 
